Applied,Marks,NextMarks
0,59,97
0,56,61
0,63,91
0,74,94
0,67,93
0,53,90
0,68,74
0,67,72
1,86,95
0,52,86
0,61,99
0,73,98
0,70,89
0,56,67
0,80,98
0,65,95
0,95,97
0,97,99
0,65,89
1,99,99
0,72,76
0,63,80
0,75,91
0,62,80
0,67,72
0,61,94
0,58,93
0,54,64
0,91,96
1,63,65
1,95,97
1,83,86
0,52,74
0,85,90
1,92,92
0,64,90
0,60,84
0,71,74
0,78,81
0,93,99
0,73,83
0,88,96
0,81,88
0,73,82
0,52,75
0,74,78
0,80,93
0,61,76
0,71,95
0,97,98
0,71,85
0,82,86
0,86,98
0,58,84
0,66,73
0,89,92
0,75,87
1,97,97
0,52,60
0,74,91
0,74,80
0,70,91
1,50,65
1,99,99
0,79,84
0,72,94
0,63,96
0,56,71
1,99,99
0,56,88
0,81,99
1,99,99
0,56,98
0,89,95
0,93,99
1,67,70
0,68,77
1,95,95
0,87,88
0,66,81
1,98,98
1,80,81
0,66,84
0,71,77
1,96,97
0,82,98
0,81,83
1,82,96
0,77,81
1,59,78
0,96,98
1,74,93
0,77,86
1,98,98
0,53,58
0,73,88
0,59,67
1,96,99
0,51,90
0,88,92
0,64,68
0,92,99
0,83,87
0,68,87
0,84,88
0,61,87
0,54,82
0,67,84
0,85,97
0,60,90
0,73,92
1,87,88
0,80,99
1,98,99
0,90,95
1,88,96
0,69,73
1,90,93
0,92,95
0,67,73
0,72,93
1,78,79
1,83,83
1,84,87
1,97,97
0,71,79
0,59,75
0,57,88
1,75,76
0,97,98
0,52,78
0,57,94
1,53,59
0,69,99
0,72,86
0,85,87
0,87,98
1,72,72
0,57,89
0,68,92
0,69,89
1,99,99
0,65,83
0,74,97
0,61,69
0,61,93
0,98,99
0,69,81
0,59,92
0,54,84
0,86,97
0,74,97
0,85,95
0,66,77
0,63,76
1,75,76
0,69,79
0,81,83
0,93,97
0,61,88
0,83,87
0,51,79
0,82,90
0,56,95
1,71,83
1,51,52
0,54,97
0,64,77
0,72,82
0,77,83
0,58,93
1,61,81
0,64,94
0,51,95
1,94,94
0,59,75
0,55,63
0,77,85
0,71,82
1,67,68
0,90,92
1,95,96
0,59,88
0,67,95
0,91,99
0,75,83
0,52,68
0,82,98
0,67,91
0,73,94
0,53,64
0,62,81
1,91,93
0,90,93
0,94,98
0,58,79
0,75,89
0,80,95
0,55,93
0,57,90
1,61,74
0,53,68
0,53,83
0,50,74
0,50,83
0,61,68
0,68,75
1,98,99
0,77,82
0,78,87
0,69,73
0,51,63
0,72,84
1,76,84
0,75,79
0,78,81
0,61,75
0,76,99
0,69,74
0,77,93
1,74,77
0,62,74
0,61,84
0,50,69
0,70,74
0,87,98
0,62,68
0,82,90
0,91,98
0,93,97
0,71,72
0,64,99
0,51,88
0,90,97
0,79,82
0,82,93
1,92,92
1,93,96
0,87,95
0,66,97
0,81,87
0,51,54
0,89,92
1,94,96
0,58,76
1,56,59
0,55,78
1,52,53
1,94,96
1,86,88
0,94,96
0,55,84
0,84,90
0,59,94
1,66,70
0,76,97
0,75,76
1,99,99
0,81,92
1,95,95
0,56,86
0,79,89
0,63,83
0,60,70
0,84,87
1,98,98
1,93,98
0,67,76
0,66,92
0,82,84
0,71,78
1,63,82
0,70,95
0,91,96
1,83,87
0,88,92
1,66,74
0,88,99
0,81,94
1,94,95
1,93,98
0,56,97
0,56,89
0,88,98
1,86,86
0,59,63
0,73,99
0,55,82
0,59,99
0,69,90
0,69,96
1,96,96
0,81,90
0,93,95
1,74,76
0,68,83
1,97,98
0,50,59
1,99,99
0,57,63
0,66,98
0,50,97
0,74,77
0,70,78
0,84,95
0,63,92
0,61,73
0,79,98
0,90,98
1,97,97
0,56,71
1,51,73
0,92,96
0,69,77
0,75,90
0,74,99
0,66,77
0,58,78
0,82,88
0,70,97
0,61,80
1,83,89
0,60,98
0,57,99
0,66,84
0,82,91
1,90,90
0,89,98
0,51,79
0,89,95
0,79,90
1,98,98
0,96,99
1,59,59
0,95,98
0,89,96
0,78,80
0,70,96
0,57,72
0,94,97
0,79,89
0,93,98
0,81,86
1,96,97
0,57,69
0,81,88
1,88,91
1,97,99
1,99,99
1,97,97
0,59,92
0,79,85
1,58,63
0,51,67
0,58,86
0,79,85
1,93,93
0,74,98
0,83,98
1,73,76
1,99,99
0,78,89
0,93,97
0,75,78
0,64,82
0,95,96
0,75,82
0,52,91
0,85,97
0,56,98
0,73,93
0,58,92
0,73,83
0,51,56
0,94,99
0,72,92
0,93,97
0,54,75
0,89,95
0,77,80
0,62,80
0,56,77
0,81,86
1,84,96
0,86,98
1,98,99
0,54,59
1,62,75
0,92,94
0,91,95
0,92,96
0,61,83
0,62,99
0,54,88
0,93,98
0,93,98
1,86,87
1,97,97
0,64,85
0,80,94
0,79,92
1,99,99
0,84,98
1,70,72
0,74,82
1,77,82
1,75,75
0,93,95
0,67,75
0,60,82
1,99,99
1,67,70
0,83,93
0,54,61
0,63,94
0,69,87
0,60,82
0,58,82
0,89,95
0,57,73
0,90,99
1,90,90
0,52,64
1,92,92
0,51,87
0,55,83
0,64,82
0,87,90
0,92,97
0,59,62
0,57,81
1,82,83
0,64,94
1,88,89
0,96,97
1,94,94
0,52,69
0,62,66
0,94,98
0,83,99
0,50,95
0,75,95
1,85,88
0,58,75
0,74,95
0,77,84
0,90,98
0,75,94
0,69,93
0,52,76
1,89,96
0,65,97
1,57,58
1,99,99
1,94,95
0,62,70
1,96,97
0,67,84
1,89,93
0,91,95
0,73,91
0,52,61
0,92,95
0,88,95
1,95,96
0,79,93
0,88,99
0,73,90
0,54,73
0,50,95
0,85,97
0,68,97
1,97,99
0,96,99
0,67,72
0,92,96
1,68,68
0,90,99
0,69,88
0,89,92
0,52,67
0,88,95
0,50,76
0,72,95
1,99,99
0,74,81
1,53,60
0,59,61
0,88,95
0,89,90
1,98,98
1,80,80
0,56,94
0,50,92
0,60,83
0,50,84
0,59,74
0,71,74
1,60,63
0,82,90
0,57,98
0,55,88
0,61,82
0,77,85
0,83,95
0,70,97
0,67,95
0,60,81
1,98,99
1,51,55
0,68,93
1,85,88
0,63,71
0,88,93
0,82,93
0,63,80
0,51,74
0,96,98
0,78,93
0,54,81
0,62,72
1,79,83
0,73,92
0,65,67
0,76,86
1,62,65
0,63,94
0,86,90
1,95,96
0,89,97
0,85,94
0,86,87
0,57,77
0,86,97
0,80,85
0,78,82
0,66,95
0,69,91
0,88,96
0,96,99
0,83,88
0,79,94
0,53,89
0,80,94
0,93,95
0,54,76
0,90,93
0,53,59
0,90,98
1,99,99
0,52,76
0,75,87
0,87,90
0,75,82
0,61,79
0,80,88
1,52,57
0,58,80
0,90,99
0,71,87
0,71,84
0,66,94
0,58,84
1,51,51
0,80,86
0,52,94
0,63,87
0,88,94
1,91,92
0,90,99
1,99,99
0,96,99
0,74,86
0,94,99
0,72,99
0,63,82
1,51,87
0,57,69
0,77,92
0,71,94
1,79,83
0,64,84
0,88,91
0,80,90
0,54,94
0,65,72
1,99,99
0,96,97
0,79,94
1,79,81
0,95,99
0,86,94
0,67,77
0,62,95
0,64,83
0,50,80
1,83,88
1,98,99
0,72,85
0,75,92
0,78,92
0,60,90
0,65,72
0,95,99
0,61,68
0,75,95
0,90,94
0,94,98
0,91,98
1,92,99
0,82,91
0,58,65
0,78,81
0,85,99
0,54,60
0,91,96
0,58,63
0,55,58
1,94,94
0,70,80
0,73,78
1,96,98
0,53,74
0,55,80
0,64,67
1,75,75
1,99,99
0,51,97
1,96,97
1,98,99
0,87,98
0,86,96
0,67,83
0,63,70
0,66,71
0,53,78
1,99,99
1,88,89
0,74,85
0,64,80
0,77,82
0,74,91
0,84,90
1,98,99
0,59,93
1,78,79
0,61,70
0,52,56
1,92,93
0,79,85
1,86,88
0,83,88
0,93,98
0,58,62
0,67,98
0,62,74
0,68,78
0,62,66
0,84,99
0,85,90
0,72,86
1,96,96
0,67,96
0,69,87
1,87,96
0,68,76
0,55,83
0,52,78
0,94,97
0,85,92
0,76,80
1,77,78
1,74,91
0,71,79
1,95,99
0,71,91
0,62,95
1,93,93
0,82,89
0,82,89
1,97,98
0,58,87
0,96,99
0,54,83
0,54,62
0,51,88
0,90,94
1,86,98
0,88,99
0,78,88
1,72,73
0,88,90
0,88,99
0,73,86
0,69,75
1,71,73
0,66,83
0,75,90
0,53,84
0,58,67
1,94,96
0,56,89
1,86,93
1,80,89
0,57,61
0,92,96
1,95,97
0,91,94
0,72,96
0,96,99
1,80,81
0,91,99
1,97,98
0,80,83
0,76,98
0,73,93
1,56,62
0,88,96
0,59,65
0,62,96
0,75,88
0,69,81
0,61,96
0,57,87
0,90,98
0,51,77
0,81,97
1,75,84
0,89,94
0,64,79
0,80,98
0,83,98
0,86,95
0,79,86
0,74,96
0,86,88
0,63,74
0,52,64
0,84,94
0,88,99
0,94,98
0,81,91
0,58,73
0,61,77
1,94,94
0,71,82
0,60,64
0,65,70
0,62,72
1,97,97
0,82,96
0,88,94
0,63,86
0,72,97
0,88,96
0,72,93
0,60,86
0,63,85
0,52,64
0,78,81
0,51,85
1,77,84
0,94,99
0,63,95
0,55,62
0,77,89
0,81,85
1,91,99
0,73,87
0,87,90
0,82,90
0,63,68
0,67,74
1,56,59
0,70,84
0,76,82
0,74,97
0,93,97
0,75,91
0,89,97
0,59,77
0,87,96
1,89,89
1,87,89
0,80,85
0,79,84
0,68,74
1,86,87
0,56,79
1,70,93
0,82,86
0,94,99
1,98,98
0,69,90
0,59,62
1,93,93
0,69,84
0,87,90
0,68,72
0,97,99
0,61,97
0,65,80
0,82,89
0,73,87
0,82,87
0,81,86
0,76,81
0,52,57
0,93,97
0,77,93
0,90,98
0,92,95
0,53,68
0,81,93
1,89,89
0,69,98
0,85,88
0,88,96
1,93,94
0,68,86
1,68,68
0,51,91
0,67,91
0,95,97
1,99,99
0,65,68
1,94,96
0,54,66
0,63,98
0,72,95
1,74,76
1,60,61
0,80,91
0,52,61
0,81,84
1,74,79
1,77,98
0,68,83
0,64,72
1,90,90
0,89,94
0,92,96
0,63,85
1,53,81
0,72,93
0,91,98
1,97,99
1,87,88
0,62,95
0,89,93
1,89,89
0,69,77
0,71,89
0,70,84
0,63,75
1,90,90
0,72,80
0,53,74
0,67,92
1,96,97
0,51,71
1,64,94
0,84,88
0,76,99
0,64,82
1,96,98
0,65,82
1,85,96
1,99,99
0,90,96
0,82,91
0,73,80
0,65,93
1,93,93
1,89,90
0,95,98
0,51,78
0,71,80
0,72,74
0,79,85
0,79,93
0,50,71
0,52,73
1,89,94
0,66,81
0,86,95
0,75,90
0,51,96
1,99,99
0,61,91
1,95,96
1,84,87
0,90,99
0,69,94
0,55,89
0,54,70
1,96,99
1,97,98
0,76,84
0,80,89
0,72,94
0,59,66
0,57,92
0,55,83
0,88,92
0,57,62
0,75,86
0,55,81
0,62,69
0,68,75
0,86,94
0,54,87
1,74,80
0,59,62
0,65,71
0,94,96
0,80,98
1,91,91
0,68,81
0,72,95
0,52,74
0,58,91
0,83,92
1,95,99
0,88,99
0,81,84
1,84,84
0,79,92
0,83,92
0,88,98
1,78,79
0,90,92
0,94,96
0,81,84
1,67,80
0,82,97
0,68,98
0,71,82
0,56,98
0,61,76
0,60,96
0,78,81
0,56,64
0,56,87
0,95,98
0,87,90
1,50,60
0,77,92
0,57,80
1,97,98
0,81,97
1,79,80
0,74,80
0,81,97
0,58,88
1,95,96
1,59,66
0,85,96
1,99,99
0,67,99
1,81,82
0,96,99
0,96,98
0,52,90
1,52,59
0,93,98
1,89,89
0,82,90
0,54,86
0,72,80
0,81,96
0,57,76
0,60,73
0,88,99
0,67,88
0,96,98
0,54,86
1,86,95
0,86,97
0,56,64
0,51,53
0,50,72
0,66,82
1,50,60
1,96,99
0,64,95
1,73,83
0,85,89
0,96,98
1,99,99
0,61,73
0,61,71
1,94,97
0,53,68
0,63,99
0,64,78
0,86,93
0,59,67
0,88,91
0,58,86
0,67,90
1,91,98
0,78,98
0,68,83
0,67,89
1,74,82
0,66,98
1,80,80
0,67,78
0,51,71
0,80,98
0,89,92
1,72,94
1,78,95
0,60,84
0,54,87
0,83,96
0,53,67
0,79,94
0,78,96
1,62,78
0,59,87
0,93,96
1,79,81
1,61,61
0,80,83
0,54,91
0,61,83
0,58,88
1,96,97
1,63,65
1,70,71
0,65,86
0,77,80
0,60,67
1,90,92
0,64,69
0,65,91
0,61,93
0,81,87
0,93,98
0,77,85
0,69,90
0,59,80
0,58,82
0,93,95
0,98,99
0,74,76
1,83,86
1,57,68
0,60,74
0,59,81
1,80,89
0,65,85
0,68,92
0,90,98
0,77,98
1,92,93
0,56,59
0,50,71
0,58,81
1,96,97
0,67,87
1,92,93
0,58,90
1,99,99
0,80,86
0,65,97
0,52,86
0,59,93
0,63,77
0,64,75
0,89,96
0,89,95
0,54,91
1,68,81
1,99,99
1,76,89
0,64,79
0,65,79
0,65,80
0,92,95
0,63,92
0,53,81
0,68,91
0,83,96
0,67,75
0,50,60
1,98,98
0,77,95
0,62,94
0,93,98
0,87,92
0,79,98
0,76,84
0,83,99
0,79,83
0,67,83
1,77,82
0,55,63
0,56,69
0,74,85
1,98,98
0,86,94
0,65,71
0,81,92
1,94,94
1,54,54
0,82,98
0,53,96
0,65,74
0,58,68
1,99,99
1,91,96
0,81,88
0,71,96
0,87,94
1,57,58
0,71,98
1,83,91
1,86,86
1,92,96
1,68,73
1,92,96
0,75,90
0,74,80
0,92,99
0,63,97
0,64,71
0,58,76
1,93,94
1,98,98
0,67,77
1,59,65
0,66,88
1,87,91
0,72,83
0,62,83
0,67,71
0,83,90
0,53,86
0,94,96
0,61,88
1,95,95
0,63,82
1,98,98
0,56,66
0,74,89
0,55,93
1,65,95
0,91,97
0,58,67
0,57,66
0,64,73
0,91,95
1,96,99
0,64,81
0,84,90
0,73,98
0,72,81
0,85,91
1,88,98
1,82,91
1,72,72
0,70,92
0,76,89
0,64,84
0,69,85
1,89,90
0,83,99
0,56,77
0,54,83
1,86,96
0,74,80
1,96,97
0,51,93
0,64,87
1,88,89
0,83,91
0,70,82
1,81,82
0,55,62
0,92,98
0,53,88
0,52,67
0,77,92
1,99,99
0,64,87
0,69,94
0,84,96
0,71,97
0,73,85
1,93,93
0,70,90
1,67,70
1,55,55
0,82,95
0,92,98
1,68,71
1,98,98
0,67,75
0,54,66
0,66,78
0,94,98
0,64,69
0,72,87
0,71,97
0,93,95
1,96,99
0,55,79
0,90,95
1,91,92
0,68,83
0,63,98
0,88,92
1,87,97
0,56,81
0,72,77
1,83,88
0,67,73
0,63,83
0,68,75
0,61,94
1,85,94
1,79,85
0,74,78
0,54,81
1,93,93
0,55,77
0,76,95
0,91,95
0,63,98
1,96,96
0,50,74
0,59,76
0,75,89
0,70,94
0,53,80
0,79,85
1,96,96
0,73,84
0,73,89
0,60,65
0,59,83
0,55,69
0,57,98
0,64,96
0,54,82
0,75,79
1,89,90
0,58,92
0,85,98
0,76,78
0,58,96
0,84,96
0,68,78
0,57,74
0,70,77
0,72,86
0,50,97
1,98,99
0,63,96
0,83,88
0,80,93
0,62,89
0,72,97
0,84,87
0,88,99
0,78,98
0,92,97
0,71,87
0,83,93
1,79,81
0,80,91
0,76,83
1,75,75
0,83,96
0,52,67
0,60,86
0,72,89
0,94,96
0,55,70
0,58,82
0,72,80
0,73,91
0,85,99
1,71,72
0,52,63
1,90,90
0,86,92
0,63,95
0,72,82
0,73,86
1,83,89
0,88,97
1,85,88
0,76,83
0,50,84
0,77,81
0,57,69
1,76,94
0,76,98
0,91,95
0,52,63
0,69,96
0,62,95
0,91,99
0,70,82
0,58,77
0,75,85
0,77,79
0,73,92
1,93,96
0,55,71
0,70,87
0,67,89
0,57,66
0,81,95
0,54,60
0,74,83
0,54,77
1,78,78
0,85,89
0,77,91
0,79,97
1,92,98
0,59,66
0,77,93
0,89,92
1,94,94
1,84,87
1,86,97
0,81,88
0,94,96
0,50,76
1,94,99
0,56,83
0,64,84
0,78,80
0,68,95
1,55,55
0,73,94
1,98,99
0,51,70
0,58,87
0,56,73
1,98,99
0,59,86
0,91,97
1,68,69
0,72,96
0,55,85
1,61,69
1,98,99
0,87,91
0,65,82
0,70,76
0,92,97
0,51,95
1,76,94
0,84,89
1,86,86
0,67,93
0,74,91
0,68,87
0,63,87
0,56,60
0,69,82
0,61,88
0,50,79
0,84,91
0,53,98
0,77,88
1,73,74
0,93,97
0,87,98
0,66,99
0,60,77
0,57,96
1,98,98
0,66,82
0,77,92
0,69,91
1,82,85
0,95,98
0,88,92
0,54,79
1,85,85
0,54,89
0,92,99
0,68,84
0,62,76
1,99,99
0,89,99
1,77,77
0,66,86
0,88,91
0,60,69
1,98,99
0,92,96
0,89,94
0,58,99
0,58,98
0,86,96
0,79,88
0,67,73
0,84,95
1,92,93
0,52,67
1,98,98
1,59,59
1,70,86
0,64,75
0,83,95
0,72,90
1,50,83
0,94,98
0,92,96
1,98,98
0,54,81
0,54,63
1,76,79
0,57,99
0,51,81
0,76,89
0,55,92
0,62,92
0,90,94
0,77,81
0,77,94
0,52,77
1,99,99
0,83,98
1,99,99
0,83,99
0,59,80
0,69,79
0,84,90
0,85,86
0,60,86
0,83,89
0,97,99
1,92,93
0,72,95
0,67,91
0,55,89
0,87,92
0,94,99
0,82,96
1,85,87
0,59,87
1,98,98
0,79,86
0,90,93
0,91,96
1,85,85
0,61,80
1,91,92
0,90,98
1,85,86
1,99,99
1,93,94
1,68,69
0,66,70
1,78,78
0,51,91
0,52,85
0,92,97
0,59,68
0,94,98
0,90,98
0,60,73
1,68,69
0,82,95
0,55,79
0,51,91
0,54,77
0,98,99
0,95,98
1,98,99
0,74,98
0,72,79
0,83,98
1,87,88
0,50,94
1,53,54
1,76,90
0,73,80
0,55,81
1,98,98
1,92,93
0,71,93
0,76,86
0,77,97
0,75,98
1,95,99
0,68,84
1,98,98
0,77,97
0,50,92
0,64,71
0,65,98
0,52,99
0,69,87
0,56,72
0,84,98
1,95,96
0,59,67
0,92,98
0,52,89
0,75,86
1,67,67
0,91,98
0,58,85
0,95,99
0,91,94
0,82,97
0,69,82
0,96,99
0,73,95
0,51,78
0,73,91
0,86,89
0,76,87
0,67,89
0,67,75
0,55,78
0,93,99
0,50,85
0,64,99
0,55,83
1,86,90
0,71,81
0,57,91
0,92,96
1,94,95
0,83,88
0,80,83
0,69,88
0,57,71
0,73,94
1,81,82
0,61,93
0,59,68
0,92,98
1,96,96
0,74,96
1,94,95
0,54,70
0,74,82
1,95,97
0,92,97
0,92,97
0,74,81
0,74,83
0,96,99
0,82,86
0,65,75
1,89,89
1,61,61
0,91,99
0,61,99
0,67,85
0,78,88
0,62,91
0,70,99
0,61,69
0,87,90
1,96,98
0,82,96
0,84,91
0,61,64
1,99,99
1,96,97
0,88,98
0,90,97
0,95,99
1,92,97
0,86,88
0,77,93
0,67,95
0,91,95
0,70,88
0,51,75
0,64,87
0,94,99
0,60,95
0,57,95
1,77,80
0,63,81
0,80,94
0,75,90
1,99,99
0,74,82
1,56,92
0,61,95
0,84,85
0,50,99
0,91,93
0,56,84
0,71,96
0,87,92
0,68,94
0,61,84
1,92,92
0,85,90
0,76,96
0,85,92
1,91,93
1,87,87
0,68,74
0,61,86
1,70,99
0,91,94
0,67,87
0,51,98
0,85,89
0,84,96
1,79,81
0,70,98
0,62,98
0,64,83
1,97,99
0,91,93
0,83,85
0,53,63
1,79,79
0,59,97
0,65,78
0,72,98
0,72,84
0,73,84
1,96,97
1,53,62
0,95,98
0,50,70
0,55,90
0,63,88
0,88,96
0,79,85
0,90,95
0,53,92
1,52,72
0,69,86
0,63,81
0,61,73
1,62,69
0,61,85
1,93,95
0,71,96
0,62,99
0,84,95
0,68,76
0,70,85
0,83,89
0,61,80
0,70,97
0,54,76
0,81,96
0,79,93
1,91,93
1,69,71
0,97,99
1,87,88
0,54,68
1,80,80
1,95,95
0,93,96
1,88,90
1,73,91
0,79,94
0,84,94
0,87,97
0,78,84
0,52,94
1,98,99
1,95,95
1,89,89
1,56,57
0,93,97
0,61,90
0,82,88
1,71,71
1,51,52
0,56,70
0,66,95
0,62,75
1,93,94
1,92,96
0,88,98
0,67,74
1,61,80
0,91,95
0,63,91
0,77,95
0,84,97
0,82,97
0,65,85
0,56,88
0,78,94
0,64,98
1,94,99
1,52,60
0,58,99
0,65,79
0,79,84
1,67,74
1,56,57
1,96,97
0,58,92
0,50,82
0,80,94
1,85,97
1,91,93
1,80,81
0,67,92
0,92,97
0,58,80
1,98,98
1,68,71
0,61,87
0,95,96
0,65,74
1,86,87
1,84,91
1,87,87
0,60,78
0,70,93
1,84,90
0,87,89
1,87,88
0,76,92
0,58,82
0,60,69
0,89,93
1,76,76
0,73,95
0,92,95
0,88,94
0,75,94
0,90,97
1,96,97
0,61,73
0,61,76
1,70,79
0,82,96
0,79,96
0,79,83
0,56,78
0,55,85
0,81,90
0,78,93
0,58,66
0,66,74
0,62,97
1,94,95
0,59,73
1,94,94
0,90,93
0,73,93
1,99,99
1,98,98
0,74,94
0,66,86
1,82,90
0,84,94
0,66,74
0,76,88
0,81,87
0,62,85
0,85,93
0,84,94
1,86,89
1,87,87
0,74,84
1,92,92
0,57,60
0,77,97
0,58,96
0,83,95
1,98,98
0,73,83
1,84,84
0,62,99
1,96,97
0,54,80
0,62,78
0,74,84
0,83,85
0,78,86
0,54,67
0,54,84
0,60,94
0,55,97
0,80,90
1,79,79
0,74,99
0,61,66
1,99,99
0,58,97
0,50,82
0,74,99
0,55,73
0,65,99
0,87,98
0,85,95
1,86,88
1,97,97
0,54,60
0,52,90
0,53,97
1,93,93
1,59,59
0,85,90
0,51,88
0,69,94
1,95,99
1,89,97
1,98,99
0,77,88
0,65,75
1,85,91
0,62,99
0,77,98
1,84,84
0,75,86
0,73,85
1,79,83
0,72,94
0,52,81
0,85,95
0,62,99
0,52,65
0,64,74
0,85,88
0,50,99
1,94,97
0,57,66
0,85,98
0,50,76
0,94,99
1,91,96
0,59,70
0,67,81
0,55,56
0,77,79
0,90,93
0,85,99
0,67,76
0,73,90
0,55,78
0,63,83
0,51,84
0,62,84
0,85,97
0,54,65
0,54,62
0,57,77
0,90,95
0,59,74
0,84,86
0,67,91
0,93,97
0,60,62
0,59,70
1,87,88
0,51,57
1,82,86
0,83,90
0,72,98
1,99,99
0,50,53
1,79,88
0,90,96
0,89,94
0,53,80
0,56,82
1,96,99
0,73,78
0,60,86
0,73,93
0,88,92
0,51,79
0,67,96
0,87,91
0,71,85
0,87,99
1,74,85
0,65,77
0,66,92
1,66,68
0,70,83
0,86,94
0,55,87
0,52,86
1,51,54
1,96,96
0,50,98
0,55,86
0,62,70
0,83,96
0,63,92
0,56,88
0,93,99
0,50,85
0,64,85
0,77,85
0,87,91
1,94,97
0,80,82
1,88,91
0,67,70
0,67,98
1,60,62
1,80,93
1,91,92
1,99,99
1,64,66
0,96,99
0,79,96
0,61,84
0,59,66
0,76,92
1,99,99
0,63,72
1,92,99
1,95,95
0,66,95
0,83,99
0,62,86
0,61,69
0,64,91
0,80,90
0,87,99
0,81,99
1,60,68
1,80,82
0,71,76
0,81,98
1,98,98
0,90,97
0,72,96
0,76,81
0,66,84
0,58,83
0,66,95
1,88,93
0,92,95
0,67,76
0,59,66
0,67,79
0,72,96
1,84,85
1,98,99
0,63,68
0,57,93
1,99,99
0,54,60
1,77,84
0,71,87
0,50,91
0,71,99
0,62,73
0,53,68
0,73,85
0,65,99
1,99,99
0,72,94
0,79,99
0,54,61
0,88,99
0,92,95
0,67,90
0,62,70
1,99,99
0,51,64
0,65,79
1,98,99
0,59,93
1,81,82
1,89,91
0,56,61
0,57,61
0,97,99
1,99,99
1,82,89
1,96,97
1,99,99
0,63,97
0,55,57
1,51,51
0,50,56
0,78,97
0,66,99
0,66,86
1,98,98
0,72,91
0,51,98
1,97,97
0,71,89
0,74,97
0,67,93
1,89,90
0,79,84
0,64,90
1,63,90
0,74,90
0,71,89
0,90,93
0,65,75
0,67,82
0,80,94
1,99,99
0,53,71
0,59,93
0,71,74
0,78,80
0,59,70
0,82,92
1,97,97
0,65,67
1,98,98
1,94,94
0,63,87
0,54,97
0,80,98
0,54,59
0,63,95
0,84,87
0,67,75
0,86,94
1,87,87
0,66,75
0,69,91
0,86,99
1,82,82
1,95,96
